PROGRAM TYPE,PROGRAM,SITE NAME,Address,BOROUGH / COMMUNITY,Postcode,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Jobs & Internships,Out-of-School Youth Employment (OSY),Brooklyn Job Corps Academy,585 DeKalb Avenue,Brooklyn,11205,Arbor Employment and Training,718.623.4031,16 to 21,"585 DeKalb Avenue11205
(40.691240660643, -73.952776188341)",40.691223,-73.952765,3,33,241,"3,049,016","3,017,640,001",Bedford                                                                    
Jobs & Internships,Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow,783 4th Avenue,Brooklyn,11232,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,"783 4th Avenue11232
(40.659289154121, -73.999107468615)",40.65927,-73.999268,7,38,101,"3,009,757","3,006,610,005",Sunset Park West                                                           
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Childrens Arts & Science Workshops, Inc. -Bx",229A East 204th Street,Bronx,10458,"Childrens Arts & Science Workshops, Inc. -Bx",718-220-4444,14 to 24,"229A 204th Street10458
(40.862601328688, -73.884790015047)",40.874409,-73.885314,7,11,413,"2,090,492","2,033,110,152",Bedford Park-Fordham North                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Inwood Community Services, Inc.","651 Academy Street , Top Flr",Manhattan,10034,"Inwood Community Services, Inc.",212-942-0043 ,14 to 24,"651 Academy Street
Top Flr 10034
(40.866018005307, -73.924772644837)",40.866001,-73.924777,12,10,291,"1,081,917","1,022,340,001",Marble Hill-Inwood                                                         
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - LaGuardia CC,29-10 Thomson Avenue Rm C,Queens,11101,Research Foundation of CUNY - LaGuardia CC,718-482-5340,14 to 24,"29 10 Thomson Avenue
Rm C 11101
(40.745702449808, -73.938669029252)",40.745216,-73.937602,2,26,1,"4,003,516","4,002,730,001",Hunters Point-Sunnyside-West Maspeth                                       
Jobs & Internships,In-School Youth Employment (ISY),Hellenic American Neighborhood Action Committee (HANAC),23-16 30th Avenue,Queens,11102,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,,"23 16 30th Avenue11102
(40.771524024514, -73.926435450735)",40.76916,-73.926258,1,22,73,"4,436,861","4,005,720,032",Old Astoria                                                                
Jobs & Internships,Out-of-School Youth Employment (OSY),Medgar Evers College,1150 Carroll Street,Brooklyn,11225,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6474,16 to 21,"1150 Carroll Street11225
(40.667238309257, -73.952271441436)",40.667253,-73.952195,9,35,321,"3,337,869","3,012,890,025",Crown Heights South                                                        
Jobs & Internships,Youth Employment,Afrikan Poetry Theatre ,176-03 Jamaica Avenue,Queens,11432,Afrikan Poetry Theatre,718.523.3312,MS/HS,"176 03 Jamaica Avenue11432
(40.71311535449, -73.792820999789)",40.707941,-73.784233,12,27,468,"4,209,975","4,098,120,008",Jamaica                                                                    
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Henry Street Settlement, Inc. - Vulnerable Youth","265 Henry Street ,",Manhattan,10002,"Henry Street Settlement, Inc. - Vulnerable Youth",212-254-3100,14 to 24,"265 Henry Street10002
(40.713875617781, -73.984342988978)",40.713857,-73.984532,3,1,202,"1,079,627","1,002,880,078",Lower East Side                                                            
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 72 - Catherine & Count Basie School,133-25 Guy R. Brewer Boulevard,Queens,11434,Queens Child Guidance Center,718.651.7770,,"133 25 Guy R Brewer Boulevard11434
(40.676945262114, -73.775306901692)",40.673769,-73.775951,12,28,"33,402","4,270,059","4,124,950,270",Springfield Gardens North                                                  
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Helen's House & Youth Center,"301 Henry Street ,",Manhattan,10002,"Henry Street Settlement, Inc. - Manhattan ",212-254-3100  ,14 to 24,"301 Henry Street10002
(40.71399949306, -73.983398773047)",40.714054,-73.982797,3,1,202,"1,003,737","1,002,880,021",Lower East Side                                                            
Jobs & Internships,In-School Youth Employment (ISY),Family Preservation Center/MBCS,1125 Grand Concourse,Bronx,10452,"Mid-Bronx Council Services, Inc.",718.588.8200,,"1125 Grand
Concourse 10452
(40.837724263364, -73.923332211412)",40.832627,-73.919398,4,16,195,"2,002,893","2,024,720,034",West Concourse                                                             
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Betances Community Center,545 East 146th Street ,Bronx,10455,"Aspira of New York, Inc.",212-585 -5040,14 to 24,"545 146th Street10455
(40.812738163622, -73.915310368294)",40.812684,-73.915213,1,8,43,"2,093,912","2,022,720,038",Mott Haven-Port Morris                                                     
Jobs & Internships,Youth Employment,BCA Education Center ,5000 8th Avenue,Brooklyn,11220,Brooklyn Chinese American Association,718.438.9312,MS/HS,"5000 8th Avenue11220
(40.641104606526, -74.003759923935)",40.641036,-74.003809,7,38,108,"3,013,418","3,007,940,039",Sunset Park East                                                           
Jobs & Internships,In-School Youth Employment (ISY),South Bronx Overall Economic Development Corp.,"555 Bergen Avenue , 3rd Fl.",Bronx,10455,South Bronx Overall Economic Development Corp.,718.292.3113,,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",40.815959,-73.916354,1,17,71,"2,097,027","2,022,940,002",Melrose South-Mott Haven North                                             
Jobs & Internships,Adult Employment,West Harlem,500 W. 134th Street,New York,10027,Community Impact/Columbia University,212.854.2617,,"500 134th Street10027
(40.811549564461, -73.952900335682)",40.818283,-73.952856,9,7,219,"1,059,742","1,019,870,036",Manhattanville                                                             
Jobs & Internships,Youth Employment,Queens Community Resource Center ,159-17 Hillside Avenue,Queens,11432,Covenant House/Under 21,718.725.9851,HS,"159 17 Hillside Avenue11432
(40.71311535449, -73.792820999789)",40.707793,-73.802545,8,24,"44,602","4,209,068","4,097,690,089",Jamaica                                                                    
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Council of Jewish Organizations of Flatbush, Inc.",1550 Coney Island Avenue,Brooklyn,11230,"Council of Jewish Organizations of Flatbush, Inc.",718-252-4446,14 to 24,"1550 Coney Island Avenue11230
(40.619697574375, -73.964314154293)",40.619517,-73.964188,12,44,454,"3,171,988","3,065,460,011",Ocean Parkway South                                                        
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Youth Education Thru Sports,646 Malcolm X Blvd,Manhattan,10037,New York City Mission Society,212-368-8400,14 to 24,"646 Malcolm X Blvd10037
(40.818574610432, -73.937465443105)",40.818813,-73.937414,10,9,214,"1,081,458","1,017,400,001",Central Harlem North-Polo Grounds                                          
Jobs & Internships,Youth Employment,Police Athletic League PAL-Webster Center ,2255 Webster Avenue,Bronx,10457,"Police Athletic League, Inc.",212.477.9450,,"2255 Webster Avenue10457
(40.855630916719, -73.896023210038)",40.855656,-73.895978,5,15,"38,302","2,013,329","2,031,430,203",Fordham South                                                              
Jobs & Internships,Adult Employment,BCA Education Center,5006 8th Avenue,Brooklyn,11220,Brooklyn Chinese American Association,718.438.9312,,"5006 8th Avenue11220
(40.641074069955, -74.003795118627)",40.641014,-74.003834,7,38,108,"3,013,419","3,007,940,041",Sunset Park East                                                           
Jobs & Internships,In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,715 Ocean Terrace,Staten Island,10301,"Police Athletic League, Inc.",212.477.6504,,"715 Ocean Terrace10301
(40.607458917131, -74.101488293171)",40.608517,-74.102078,2,50,177,"5,113,169","5,006,830,001",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
Jobs & Internships,Youth Employment,"STEPS, Inc ",1325 5th Avenue,New York,10029,"Support For Training and Educational Services, Inc.",212.831.9080,,"1325 5th Avenue10029
(40.797578953153, -73.948664533901)",40.797706,-73.948608,11,9,"17,402","1,086,046","1,016,170,001",East Harlem South                                                          
Jobs & Internships,In-School Youth Employment (ISY),Citizens Advice Bureau/Girls Club of New York,1130 Grand Concourse,Bronx,10456,"Citizens Advice Bureau, Inc.",718.365.0910,,"1130 Grand
Concourse 10456
(40.830436680009, -73.907765199504)",40.832331,-73.91959,4,16,"18,102","2,002,833","2,024,620,042",East Concourse-Concourse Village                                           
Jobs & Internships,In-School Youth Employment (ISY),"Sunnyside Community Service, Inc.",43-31 39th Street,Queens,11104,"Sunnyside Community Service, Inc.",718.784.6173,,"43 31 39th Street11104
(40.744893366636, -73.920541345307)",40.74519,-73.925909,2,26,179,"4,436,677","4,001,910,005",Hunters Point-Sunnyside-West Maspeth                                       
Jobs & Internships,Youth Employment,Bnos Yakov Educational Center,62 Harrison Avenue,Brooklyn,11211,Bnos Yakov Educational Center,718.963.1212,MS/HS,"62 Harrison Avenue11211
(40.705097775655, -73.952713601158)",40.704892,-73.952445,1,33,529,"3,060,902","3,022,200,038",Williamsburg                                                               
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Manhattan,350 Livingston Street,Manhattan,10007,New York City Housing Authority - Manhattan,212-306-3985,14 to 24,"350 Livingston Street10007
(40.713630519433, -74.009131383706)",40.71363052,-74.00913138,,,,,,
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PS 35/1232,905 Winthrop Street Rm 127,Brooklyn,11203,"Sesame Flyers International, Inc.",718-221-8880 ,14 to 24,"905 Winthrop Street11203
(40.658451422174, -73.929131359882)",40.65843,-73.929076,17,41,880,"3,099,733","3,046,060,025",Prospect Lefferts Gardens-Wingate                                          
Jobs & Internships,Adult Employment,South Bronx Overall Economic Development Corporation,555 Bergen Avenue - 3rd floor,Bronx,10455,South Bronx Overall Economic Development Corp.,718.585.2600,,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",40.81594442,-73.91641591,,,,,,
Jobs & Internships,Adult Employment,Turning Point,5220 Fourth Avenue,Brooklyn,11220,Turning Point,718.439.0077,,"5220 Fourth Avenue11220
(40.645290640072, -74.013956489484)",40.645191,-74.013924,7,38,76,"3,013,857","3,008,060,046",Sunset Park West                                                           
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"East Harlem Employment Services, Inc. STRIVE","240 East 123rd Street, 3rd FL",Manhattan,10035,"East Harlem Employment Services, Inc. STRIVE",212-360-1100,14 to 24,"240 123rd Street10035
(40.801631007365, -73.935035566046)",40.801647,-73.935017,11,8,194,"1,054,629","1,017,870,080",East Harlem North                                                          
Jobs & Internships,In-School Youth Employment (ISY),Christopher Columbus High School - H.S. 415,"925 Astor Avenue, Bronx",Bronx,10469,"Henkels & McCoy, Inc.",800.622.5577,,"925 Astor Avenue
Bronx 10469
(40.859680011814, -73.861062565319)",40.859665,-73.861006,11,13,324,"2,050,179","2,043,580,001",Bronxdale                                                                  
Jobs & Internships,Out-of-School Youth Employment (OSY),"Chinatown Manpower Project, Inc.",70 Mulberry Street 3rd flr,New York,10013,"Chinatown Manpower Project, Inc.",212.571.1690,16 to 21,"70 Mulberry Street10013
(40.716141909295, -73.999172809241)",40.716092,-73.999203,3,1,29,"1,066,494","1,002,000,001",Chinatown                                                                  
"Jobs & Internships, Youth Employment",Summer Youth Employment ,SCO Family of Services,345 43rd Street,Brooklyn,11232,SCO Family of Services,718-788-3500 ,14 to 24,"345 43rd Street11232
(40.651038320789, -74.009513156888)",40.651013,-74.009514,7,38,82,"3,337,160","3,007,230,025",Sunset Park West                                                           
Jobs & Internships,Youth Employment,The Children's Aid Society,885 Columbus Avenue,New York,10025,The Children's Aid Society,212.865.6337,HS,"885 Columbus Avenue10025
(40.797713348632, -73.963944750805)",40.797762,-73.963944,7,7,189,"1,081,301","1,018,360,001",Upper West Side                                                            
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Woodycrest Center For Human Development,153 West 165th Street,Bronx,10452,Woodycrest Center For Human Development,718-992-4256,14 to 24,"153 165th Street10452
(40.83108457688, -73.920857534442)",40.834544,-73.928932,4,8,193,"2,003,478","2,025,260,034",Highbridge                                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay Parkway,Brooklyn,11214,Edith and Carl Marks Jewish Community House of Bensonhurst,718-331-6800 x112,14 to 24,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",40.606369,-73.989235,11,44,270,"3,162,352","3,062,640,030",Bensonhurst West                                                           
Jobs & Internships,Youth Employment,Flatbush Development Corporation,1616 Newkirk Avenue,Brooklyn,11226,Flatbush Development Corporation,718.859.3800,MS/HS,"1616 Newkirk Avenue11226
(40.63599627408, -73.962302128878)",40.63604,-73.962241,14,40,518,"3,121,203","3,052,370,006",Flatbush                                                                   
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Alianza Mosaic Beacon,"125 W 166th St, 1st flr",Bronx,10452,"Alianza Dominicana, Inc. - Bronx",917-258-3731,14 to 24,"125 166th St
flr 10452
(40.832222907688, -73.920620687891)",40.835377,-73.927103,4,16,199,"2,003,279","2,025,140,077",Highbridge                                                                 
Jobs & Internships,In-School Youth Employment (ISY),"Jacob A. Riis Neighborhood Settlement, Inc.",10-25 41st Avenue,Queens,11101,"Jacob A. Riis Neighborhood Settlement, Inc.",718.744.7447,,"10 25 41st Avenue11101
(40.745702449808, -73.938669029252)",40.755488,-73.945328,1,26,25,"4,433,386","4,004,700,100",Queensbridge-Ravenswood-Long Island City                                   
