Borough,Name,Address,Zip Code,Contact,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,
Bronx,The Living Room ,"1241 Lafayette Avenue
",10474,(718) 893-3606,40.81653,-73.889742,2,17,93,2006002,2027400100,Hunts Point                                                                ,
Manhattan,Olivieri Center,"257 West 30th Street
",10001,(212) 947-3211,40.749139,-73.994016,5,3,101,1014337,1007800009,Midtown-Midtown South                                                      ,
Brooklyn,The Gathering Place,"2402 Atlantic Avenue
",11233,(212) 883-0680,40.676015,-73.905105,16,37,36502,3038666,3014370008,Ocean Hill                                                                 ,
Staten Island,Project Hospitality,"25 Central Avenue
",10301,(718) 273-8409,40.641112,-74.076825,1,49,3,5000027,5000050065,West New Brighton-New Brighton-St. George                                  ,
Manhattan,"Safe Horizon, Inc",214 West 30th Street,10027,(212) 268-3943,40.74862808,-73.99338311,,,,,,,
Manhattan,Covenant House,"427 West 52nd Street,",10019,(212) 613-0300 ext. 0532,40.76543659,-73.98926243,,,,Type,,SERVICESOF,URL
Manhattan,Covenant House,460 West 41st Street,10036,(212) 613-0300 ext. 0531,40.75854147,-73.99557687,,,,Crises,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Brooklyn,Ali Forney Center,241 Taffee Place,11205,(212) 206-0574,40.69090313,-73.95931031,,,,Crises,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Brooklyn,The Turning Point Sunset Terrace,319-321 42nd Street,11220,(718) 640-1560 ext. 9025,40.65202799,-74.00935105,,,,Crises,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Brooklyn,Ali Forney Center,216 23rd Street,11232,(212) 206-0574,40.66053404,-73.99542364,,,,Crises,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Brooklyn,The Turning Point,5220 Fourth Avenue,11220,(718) 439-0077,40.64510298,-74.01450042,,,,Crises,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Bronx,Cardinal McCloskey,333 East 149th Street,10451,(718) 993-5495,40.81698295,-73.92017897,,,,Crises,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Manhattan,The Door,121 6th Avenue,10013,(212) 453-0248,40.72412129,-74.00516928,,,,Crises,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Staten Island,Project Hospitality,1546 Castleton Avenue,10302,(877) 994-6736,40.63574444,-74.13440428,,,,Drop in,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Brooklyn,SCO Family of Services,89 South 10th Street,11221,(718) 384-7083,40.70832273,-73.96509135,,,,Drop in,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Bronx,Bronx Community Pride Center,448 East 149th Street,10455,(718) 292-4368,40.81491019,-73.91562948,,,,Drop in,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
Manhattan,"Safe Horizon, Inc",209 West 125th Street,10027,(212) 695-2220,40.80939075,-73.94858861,,,,Drop in,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
,,,,,,,,,,Drop in,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
,,,,,,,,,,Drop in,,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml
