"Date","LI","Tot"
2020-06-26,22,45
2020-06-27,0,16
2020-06-28,0,7
2020-06-29,2,24
2020-06-30,35,699
2020-07-02,108,112
2020-07-10,1,1
2020-07-15,79,80
2020-07-30,170,171
2020-07-31,70,71
2020-08-03,152,154
2020-08-04,15,15
2020-08-11,79,95
2020-08-12,0,25
2020-08-13,0,15
2020-08-14,0,240
2020-08-18,40,519
2020-08-19,235,246
2020-08-20,163,527
2020-08-21,1,1
2020-08-25,3,22
2020-08-27,1,11
2020-08-31,0,26
2020-09-01,0,39
2020-09-03,0,7
2020-09-04,0,16
2020-09-08,0,10
2020-09-10,0,8
2020-09-14,0,8
2020-09-15,0,78
2020-09-16,24,124
2020-09-17,66,100
2020-09-18,1,40
2020-09-21,0,101
2020-09-22,0,63
2020-09-23,1,49
2020-09-24,0,101
2020-09-25,41,48
2020-09-29,29,170
2020-09-30,40,127
2020-10-01,49,605
2020-10-02,0,23
2020-10-05,0,10
2020-10-06,60,60
2020-10-09,1,1
2020-10-13,114,144
2020-10-14,27,31
2020-10-15,96,480
2020-10-16,384,757
2020-10-20,4,4
2020-10-21,624,686
2020-10-22,532,684
2020-10-26,13,96
2020-10-27,0,55
2020-10-28,0,18
2020-10-29,2,18
2020-11-02,0,31
2020-11-04,0,25
2020-11-05,0,121
2020-11-09,0,154
2020-11-10,1,303
2020-11-12,5,61
2020-11-13,73,99
2020-11-16,1,185
2020-11-17,96,202
2020-11-18,0,8
2020-11-20,1,17
2020-11-23,14,38
2020-11-25,6,10
2020-11-27,67,273
2020-12-01,1872,1874
2020-12-03,108,162
2020-12-04,0,125
2020-12-10,326,327
2020-12-11,0,14
2020-12-14,74,94
2020-12-16,2,70
2020-12-17,1585,1659
2020-12-22,190,269
2020-12-23,74,378
2020-12-24,0,50
2020-12-28,41,41
2020-12-29,829,940
2020-12-30,649,659
2020-12-31,426,864
2021-01-04,0,11
2021-01-06,101,117
2021-01-11,0,10
2021-01-12,1,1
2021-01-15,0,10
2021-01-19,0,8
2021-01-20,0,47
2021-01-21,2,73
2021-01-22,164,210
2021-01-26,6,20
2021-01-27,0,34
2021-01-28,62,77
2021-01-29,1,1
2021-02-03,0,76
2021-02-04,0,36
2021-02-05,0,143
2021-02-08,0,6
2021-02-09,2,220
2021-02-11,0,9
2021-02-12,0,52
2021-02-18,2,58
2021-02-22,0,8
2021-02-24,27,1301
2021-02-25,132,169
2021-02-26,1,1
2021-03-02,0,26
2021-03-05,1,11
2021-03-10,1,1
2021-03-11,0,17
2021-03-12,0,240
2021-03-16,1,16
2021-03-17,6,32
2021-03-18,0,12
2021-03-19,0,9
2021-03-22,0,55
2021-03-26,2,2
2021-03-31,236,240
2021-04-01,0,7
2021-04-08,2,2
2021-04-09,30,625
2021-04-13,1,1
2021-04-15,0,64
2021-04-16,3,35
2021-04-20,2,2
2021-04-23,115,133
2021-04-26,0,56
2021-04-27,0,23
2021-04-28,61,70
2021-04-29,392,1408
2021-04-30,110,112
2021-05-03,0,8
2021-05-05,0,36
2021-05-07,0,43
2021-05-10,81,202
2021-05-11,63,64
2021-05-12,59,284
2021-05-13,81,221
2021-05-14,24,69
2021-05-17,0,24
2021-05-20,4,21
2021-05-26,4,25
2021-05-27,1,1
2021-05-28,1,131
2021-06-07,1,1
2021-06-09,25,197
2021-06-11,0,36
2021-06-14,23,125
2021-06-15,21,138
2021-06-17,107,186
2021-06-18,2,2
2021-06-22,116,173
2021-06-23,46,46
2021-06-24,915,1386
2021-06-25,613,796
2021-06-28,6090,6394
2021-06-29,673,1058
2021-06-30,4152,6005
